ID_REF	GSM1150937	GSM1150938	GSM1150939	GSM1150940	GSM1150941	GSM1150942
10819880	446.22	514.53	455.85	863.86	667.71	682.13
10819890	1194.92	1230.56	1108.97	1557.37	1284.51	1310.86
10819903	186.41	171.32	151.08	147.97	156.9	133.74
10819905	394.61	337.03	442.92	753	568.23	586.41
10819912	47.18	47	50.41	49.23	48.51	46.5
10819914	2459.25	2509.7	2370.54	2217.47	2303.32	2228.72
10819928	937.71	909.13	911.24	1019.02	986.63	962.64
10819944	33.13	33.5	33.79	30.7	30.47	30.96
10819946	78.9	77.72	82.22	75.87	79.61	105.57
10819961	98.82	87.1	87.84	61.88	60.04	68.46
10819975	2871.72	2883.09	2720.02	2204.6	2508.31	2529.96
10819988	24.05	26.15	22.19	23.98	22.51	23.35
10819990	2523.31	2545.26	2376.79	2575.08	2544.74	2484.95
10819992	23.05	24.48	21.91	22.85	20.88	22.9
10819994	1374.6	1358.88	1303.07	1235.69	1257.46	1235.86
10819998	217.25	219.14	202.71	188.69	210.47	200.14
10820000	49.66	56.54	53.37	43.24	48.92	48.27
10820002	4087.49	4911.68	4811.26	4053.07	4294.58	4057.85
10820004	512.01	549.81	537.86	516.42	501.95	494.09
10820006	151.15	164.83	163.3	157.41	161.44	155.98
10820008	2237.39	2510.4	2212.1	2081.2	2155.64	2140.75
10820010	211.8	177.59	161.53	200.2	157.58	147.74
10820012	474.63	605.7	586.51	454.48	535.9	483.03
10820014	2038.51	1893.58	1941.83	1072.9	1381.58	1496.42
10820047	631.03	641.98	637	551.63	564.65	603.45
10820049	235.75	249.92	236.49	226.01	232.68	222.58
10820052	423.15	453.48	412.92	327.36	350.35	378
10820067	944.91	928.22	910.35	1068.15	1008.75	975.82
10820071	129.41	129.32	134.2	133.28	131.33	128.48
10820073	1075.06	1059.96	985.03	871.99	869.32	927.59
10820084	567.86	477.93	550.21	1160.72	942.63	909.12
10820094	468.13	530.59	542	523.86	495.66	545.95
10820096	139.35	152.91	155.41	150.64	159.49	159.15
10820098	125.89	126.12	134.22	121.29	116.67	121.31
10820100	278.15	256.54	258.42	355.8	295.45	293.26
10820108	337.07	332.41	334.89	465.85	368.07	379.57
10820122	3354.54	3070.38	3075.28	3515.71	3409.39	3024.12
10820126	268.83	248.58	303.51	321.74	317.24	281.98
10820133	413.58	235.05	263.98	394.42	319.24	258.54
10820135	246.04	238.72	243.85	249.04	235.61	222.63
10820137	81.44	102.09	98.8	115.07	107.85	101.22
10820145	143.6	163.4	134.19	197.21	165.19	166.59
10820151	97.25	108.08	121.91	110.22	107.92	99.4
10820153	3258.97	3339.23	2993.88	894.46	2180.74	1996.56
10820163	560.48	495.1	516.9	457.35	484.94	488.87
10820170	77.73	79.17	82.94	79.54	84.18	74.2
10820206	214.16	195.38	215.41	152.18	188.74	182.71
10820213	232.1	312.22	297.57	594.98	375.38	423.84
10820217	1691.4	1295.78	1443.44	1736.3	1663.03	1422.88
10820219	170.02	229.65	209.87	424.61	324.17	301.56
10820221	16.9	29.43	30.09	56.23	36.08	28.37
10820223	579.91	502.21	524.47	356.54	374.73	397.41
10820232	1808.78	1741.72	1775.86	1672.74	1626.21	1681.81
10820245	1539.88	1499.12	1455.9	1559.1	1573.65	1572.12
10820271	113.01	119.09	130.55	122.54	125.09	125.31
10820275	22.38	24	15.7	22.18	19.93	16.33
10820277	4777.04	4693.02	4492.49	4881.13	4538.5	4677.1
10820280	50.77	56.34	51.84	49.91	51.88	60.34
10820282	154.34	153.45	191.75	145.97	140.89	141.05
10820300	228.36	200.05	196.99	234.32	225.07	190.75
10820308	91.95	90.52	92.14	97.22	91.57	90.18
10820316	362.04	344.78	336.09	497.7	394.17	404.87
10820324	223.23	219.37	233.19	253.94	190.05	217.04
10820327	436.39	459.91	420.38	526.78	486.75	490.68
10820335	488.4	407.15	409.73	419.26	397.4	385.54
10820362	226.79	227.04	221.59	274.79	251.69	252.38
10820393	832.87	783.08	831.85	973.81	893.85	896.73
10820400	664.78	623.63	649.25	727.53	642.21	652.78
10820419	36.97	36.13	39.87	36	33.58	31.93
10820424	79.87	73.63	81.16	93.59	76.55	76.89
10820434	443.23	450.87	1225.71	785.71	1171.39	1031.62
10820458	122.38	123.17	132.46	120.24	127.55	128.93
10820478	1877.63	1858.6	1766.77	1720.01	1754.45	1764.94
10820494	58.77	69.67	71.54	45.3	54.91	65.3
10820502	6694.68	6444.71	6451.86	5640.08	5410.33	5234.01
10820504	143.28	156.93	139.98	120.39	140.7	110.73
10820511	1353.43	1326.22	1246.7	1223.25	1204.15	1242.82
10820523	845.8	757.33	682.82	419.22	484.78	452.04
10820546	14443.17	14935.94	13981.19	14259.15	14766.09	14122.42
10820548	279.76	278.29	281.19	270.02	275.18	278.64
10820567	117.16	102.49	121.43	117.69	118.22	114.56
